address,lat,long,address_rus
PER. BAZARNY 4            SPASSK-DALNY,44.597641,132.817559,",,Спасск-Дальний"
ABB 6B NAB-CHELNINSKIJ    NAB.CHELNY,55.70178,52.333459,",,Набережные Челны"
16A BEREJKOVSK NAB        MOSCOW,55.737836,37.562604,",,Москва"
113 MIRA AV.              TOGLIATTI,55.82311,37.639815,",,Москва"
133A MOZHAYSKOE H/W.      MOSCOW,55.718349,37.415083,",,Москва"
63A IZMAYLOVSKIY AV.      MOSCOW,55.788216,37.787084,",,Москва"
14/2 BUMAZHNIY AVE        MOSCOW,55.789613,37.586904,",,Москва"
45 YANA RAYNISA ST.       MOSCOW,55.849994,37.406567,",,Москва"
8 NOVATOROV STR.          S.-PETERBURG,59.939095,30.315868,",,Санкт-Петербург"
199 G.IM.KRASNOYARSKIY RA KRASNOYARSK,55.990766,92.887831,",,Красноярск"
107 UNIVERSITETSKIY       VOLGOGRAD,48.636564,44.436055,",,Волгоград"
28 STROITELEY BLVD        KEMEROVO,55.344792,86.167507,",,Кемерово"
38 ULYANOVSKOE H/W        SYZRAN,53.180285,48.490906,",,Сызрань"
16 B.SEMENOVSKAYA         MOSCOW,55.782071,37.704116,",,Москва"
317-2 LENINA AV.          TOMSK,56.490828,84.948134,",,Томск"
153/163 B.SADOVAYA STR    SARATOV,51.541422,45.990024,",,Саратов"
PRESNENSKAJA              MOSKVA,55.747459,37.540928,",,Москва"
"KOMSOMOLSKAJA P.,2        MOSKVA      ",55.773611,37.65567,",,Москва"
"KR.G. ROSSIJSKAJA,6       OMSK        ",54.992523,73.36231,",,Омск"
PL. KOMENDANTSKAYA        SANKT-PETERB,60.007668,30.259822,",,Санкт-Петербург"
"D. 23, KORP. 1, UL. MATRO BIYSK G     ",52.497354,85.146158,",,Бийск"
UL. GOGOLYA               NOVOSIBIRSK,56.943732,24.124023,",,Рига"
"D. 91, PR-KT OBVODNYI KAN ARKHANGELSK ",64.548783,40.537654,",,Архангельск"
"D. 6, PR-KT UL'YANOVSKII  ULYANOVSK G ",54.372597,48.585059,",,Ульяновск"
"D. 12, LIT. V, UL. FAVORS SANKT-PETERB",60.002193,30.384149,",,Санкт-Петербург"
"D. 1, UL. 50-I ARMII      BRYANSK G   ",53.342661,34.292126,",,Брянск"
"D. 66, PR-KT PARKOVYI     PERM G      ",57.996473,56.174422,",,Пермь"
"79, UL. INTERNACIONAL'NAY USOLYE-SIBIR",52.75195,103.660131,",,Усолье-Сибирское"
"D. 47 A, UL. KOMMUNISTICH ULAN-UDE G  ",51.832054,107.585616,",,Улан-Удэ"
"D. 47A, PR-KT KRASNOARMEI BARNAUL G   ",53.335253,83.77541,",,Барнаул"
"D. 2, KORP. 2, B-R SVOBOD SURGUT G    ",61.249149,73.401477,",,Сургут"
"D. 22B, PR-KT KORABLESTRO NIZHNIY NOVG",56.364531,43.815553,",,Нижний Новгород"
"D. 262, UL. MAKSIMA GOR'K NIZHNIY NOVG",56.322434,44.033116,",,Нижний Новгород"
"D. 29V, PR-KT LENINGRADSK KEMEROVO G  ",55.345007,86.173166,",,Кемерово"
"D. 26 A, UL. TERESHKOVOI  ULAN-UDE G  ",51.809558,107.610688,",,Улан-Удэ"
"D. 116/2, UL. KRASNOARMEI KRASNODAR G ",45.03656,38.976894,",,Краснодар"
"D. 19/1, MKR. UBILEINYI   IRKUTSK G   ",52.227534,104.304025,",,Иркутск"
"D. 13B, PR-KT KOMSOMOL'SK TOMSK G     ",56.488522,84.978542,",,Томск"
UL. SHIROKOVA V.F.        KOSTROMA G,57.758964,40.979338,",,Кострома"
"D. 56, PR-KT LENINA       ROSTOV-NA-DO",47.249617,39.718777,",,Ростов-на-Дону"
"2 KHUTORSKAYA, 38A.9   Moskva         ",55.805078,37.568021,",,Москва"
"1 KRASNOGVARD. PR,  15 Moskva         ",55.75052,37.539401,",,Москва"
"Dmitriya Donskogo b-r, Moskva         ",55.569555,37.575082,",,Москва"
"PAVELETSKAYA PL.,2,2   Moskva         ",55.730421,37.634793,",,Москва"
"PARTIZANA ZHELEZNYAKA, KRASNOYARSK    ",56.023923,92.905824,",,Красноярск"
"SOSNOVAY ALLEYA, 601   Moskva         ",55.819343,37.463682,",,Москва"
ALTYF. SH. 22          Moskva,55.859266,37.585583,",,Москва"
101 LENINSKIY AV.         MOSCOW,55.720925,37.598384,",,Москва"
64/2 LENINSKIY AV         MOSCOW,55.69247,37.551726,",,Москва"
18 1-KOLOBOVSKIY BSTR.    MOSCOW,55.768233,37.619477,",,Москва"
4 KHODYNSKIY BLVD.        MOSCOW,55.790464,37.530409,",,Москва"
26A MIRA AV.              MYTISCHI,55.910503,37.73633,",,Мытищи"
30-40 CHERNYAHOVSKO       KALININGRAD,54.719804,20.508987,",,Калининград"
